beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
48,37.770833333333336,2019-06-06 06:25:07.770833,9065,779.1666666666666,775.0,9019.0,9038,9091,220.83333333333331,79.16666666666666,9101.0,,150.0,,,,,
49,38.545833333333334,2019-06-06 06:25:08.545833,9251,775.0,758.3333333333333,9204.0,9224,9277,220.83333333333331,83.33333333333333,9321.0,,291.6666666666667,,,,,
50,39.30416666666667,2019-06-06 06:25:09.304167,9433,758.3333333333333,770.8333333333334,9386.0,9406,9459,220.83333333333331,83.33333333333333,9469.0,,150.0,,,,,
51,40.075,2019-06-06 06:25:10.075000,9618,770.8333333333334,779.1666666666666,9569.0,9591,9644,220.83333333333331,91.66666666666666,9687.0,,287.5,,,,,
52,40.854166666666664,2019-06-06 06:25:10.854167,9805,779.1666666666666,766.6666666666667,9757.0,9778,9831,220.83333333333331,87.5,9873.0,,283.3333333333333,,,,,
53,41.62083333333333,2019-06-06 06:25:11.620833,9989,766.6666666666667,762.5,9941.0,9962,10015,220.83333333333331,87.5,10025.0,,150.0,,,,,
54,42.38333333333333,2019-06-06 06:25:12.383333,10172,762.5,770.8333333333334,10123.0,10145,10198,220.83333333333331,91.66666666666666,10208.0,,150.0,,,,,
55,43.15416666666667,2019-06-06 06:25:13.154167,10357,770.8333333333334,770.8333333333334,10310.0,10330,10383,220.83333333333331,83.33333333333333,10393.0,,150.0,,,,,
56,43.925,2019-06-06 06:25:13.925000,10542,770.8333333333334,754.1666666666666,10495.0,10515,10568,220.83333333333331,83.33333333333333,10611.0,,287.5,,,,,
57,44.67916666666667,2019-06-06 06:25:14.679167,10723,754.1666666666666,775.0,10680.0,10696,10749,220.83333333333331,66.66666666666667,10795.0,,300.0,,,,,
58,45.454166666666666,2019-06-06 06:25:15.454167,10909,775.0,775.0,10861.0,10882,10935,220.83333333333331,87.5,10945.0,,150.0,,,,,
59,46.229166666666664,2019-06-06 06:25:16.229167,11095,775.0,775.0,11046.0,11068,11121,220.83333333333331,91.66666666666666,11163.0,,283.3333333333333,,,,,
60,47.00416666666667,2019-06-06 06:25:17.004167,11281,775.0,770.8333333333334,11230.0,11254,11307,220.83333333333331,100.0,11317.0,,150.0,,,,,
61,47.775,2019-06-06 06:25:17.775000,11466,770.8333333333334,762.5,11418.0,11439,11492,220.83333333333331,87.5,11502.0,,150.0,,,,,
62,48.5375,2019-06-06 06:25:18.537500,11649,762.5,762.5,11596.0,11622,11675,220.83333333333331,108.33333333333334,11685.0,,150.0,,,,,
63,49.3,2019-06-06 06:25:19.300000,11832,762.5,766.6666666666667,11784.0,11826,11858,133.33333333333334,175.0,11868.0,,150.0,,,,,
64,50.06666666666667,2019-06-06 06:25:20.066667,12016,766.6666666666667,754.1666666666666,11967.0,11989,12042,220.83333333333331,91.66666666666666,12052.0,,150.0,,,,,
65,50.82083333333333,2019-06-06 06:25:20.820833,12197,754.1666666666666,754.1666666666666,12148.0,12170,12224,225.0,91.66666666666666,12341.0,,600.0,,,,,
66,51.575,2019-06-06 06:25:21.575000,12378,754.1666666666666,750.0,12328.0,12351,12404,220.83333333333331,95.83333333333334,12414.0,,150.0,,,,,
67,52.325,2019-06-06 06:25:22.325000,12558,750.0,745.8333333333334,12509.0,12551,12585,141.66666666666666,175.0,12594.0,,150.0,,,,,
68,53.07083333333333,2019-06-06 06:25:23.070833,12737,745.8333333333334,745.8333333333334,12688.0,12710,12763,220.83333333333331,91.66666666666666,12880.0,,595.8333333333334,,,,,
69,53.81666666666667,2019-06-06 06:25:23.816667,12916,745.8333333333334,758.3333333333333,12866.0,12889,12942,220.83333333333331,95.83333333333334,12952.0,,150.0,,,,,
70,54.575,2019-06-06 06:25:24.575000,13098,758.3333333333333,758.3333333333333,13049.0,13071,13124,220.83333333333331,91.66666666666666,13165.0,,279.1666666666667,,,,,
71,55.333333333333336,2019-06-06 06:25:25.333333,13280,758.3333333333333,758.3333333333333,13233.0,13253,13306,220.83333333333331,83.33333333333333,13349.0,13412.0,287.5,550.0,662.5,760.7742585862593,726.4947839461671,262.5
72,56.09166666666667,2019-06-06 06:25:26.091667,13462,758.3333333333333,716.6666666666666,13415.0,13455,13488,137.5,166.66666666666666,13596.0,,558.3333333333334,,,,,
73,56.80833333333333,2019-06-06 06:25:26.808333,13634,716.6666666666666,758.3333333333333,13575.0,13607,13654,195.83333333333334,133.33333333333334,13733.0,,412.5,,,,,
74,57.56666666666667,2019-06-06 06:25:27.566667,13816,758.3333333333333,770.8333333333334,13766.0,13789,13842,220.83333333333331,95.83333333333334,13887.0,,295.8333333333333,,,,,
75,58.3375,2019-06-06 06:25:28.337500,14001,770.8333333333334,775.0,13914.0,13974,14027,220.83333333333331,250.0,14044.0,,179.16666666666666,,,,,
76,59.1125,2019-06-06 06:25:29.112500,14187,775.0,766.6666666666667,14137.0,14160,14213,220.83333333333331,95.83333333333334,14258.0,,295.8333333333333,,,,,
77,59.87916666666667,2019-06-06 06:25:29.879167,14371,766.6666666666667,775.0,14324.0,14344,14397,220.83333333333331,83.33333333333333,14407.0,,150.0,,,,,
78,60.65416666666667,2019-06-06 06:25:30.654167,14557,775.0,775.0,14504.0,14530,14584,225.0,108.33333333333334,14625.0,,283.3333333333333,,,,,
79,61.42916666666667,2019-06-06 06:25:31.429167,14743,775.0,783.3333333333334,14693.0,14716,14769,220.83333333333331,95.83333333333334,14779.0,,150.0,,,,,
80,62.2125,2019-06-06 06:25:32.212500,14931,783.3333333333334,783.3333333333334,14881.0,14904,14957,220.83333333333331,95.83333333333334,15000.0,15042.0,287.5,462.5,575.0,649.6725852959369,623.7620887470376,175.0
81,62.99583333333333,2019-06-06 06:25:32.995833,15119,783.3333333333334,775.0,15069.0,15092,15145,220.83333333333331,95.83333333333334,15187.0,,283.3333333333333,,,,,
82,63.770833333333336,2019-06-06 06:25:33.770833,15305,775.0,779.1666666666666,15258.0,15278,15331,220.83333333333331,83.33333333333333,15341.0,,150.0,,,,,
83,64.55,2019-06-06 06:25:34.550000,15492,779.1666666666666,779.1666666666666,15444.0,15465,15519,225.0,87.5,15528.0,,150.0,,,,,
84,65.32916666666667,2019-06-06 06:25:35.329167,15679,779.1666666666666,779.1666666666666,15629.0,15652,15705,220.83333333333331,95.83333333333334,15715.0,,150.0,,,,,
85,66.10833333333333,2019-06-06 06:25:36.108333,15866,779.1666666666666,775.0,15818.0,15859,15892,137.5,170.83333333333334,15902.0,,150.0,,,,,
86,66.88333333333334,2019-06-06 06:25:36.883333,16052,775.0,758.3333333333333,16003.0,16045,16079,141.66666666666666,175.0,16196.0,,600.0,,,,,
87,67.64166666666667,2019-06-06 06:25:37.641667,16234,758.3333333333333,754.1666666666666,16184.0,16207,16260,220.83333333333331,95.83333333333334,16270.0,,150.0,,,,,
88,68.39583333333333,2019-06-06 06:25:38.395833,16415,754.1666666666666,766.6666666666667,16364.0,16388,16441,220.83333333333331,100.0,16451.0,,150.0,,,,,
89,69.1625,2019-06-06 06:25:39.162500,16599,766.6666666666667,770.8333333333334,16551.0,16572,16625,220.83333333333331,87.5,16635.0,,150.0,,,,,
90,69.93333333333334,2019-06-06 06:25:39.933333,16784,770.8333333333334,775.0,16737.0,16777,16810,137.5,166.66666666666666,16854.0,,291.6666666666667,,,,,
91,70.70833333333333,2019-06-06 06:25:40.708333,16970,775.0,766.6666666666667,16922.0,16963,16996,137.5,170.83333333333334,17040.0,,291.6666666666667,,,,,
92,71.475,2019-06-06 06:25:41.475000,17154,766.6666666666667,775.0,17105.0,17127,17180,220.83333333333331,91.66666666666666,17190.0,,150.0,,,,,
93,72.25,2019-06-06 06:25:42.250000,17340,775.0,766.6666666666667,17289.0,17314,17366,216.66666666666669,104.16666666666667,17412.0,,300.0,,,,,
94,73.01666666666667,2019-06-06 06:25:43.016667,17524,766.6666666666667,750.0,17477.0,17518,17550,133.33333333333334,170.83333333333334,17668.0,,600.0,,,,,
95,73.76666666666667,2019-06-06 06:25:43.766667,17704,750.0,745.8333333333334,17654.0,17677,17731,225.0,95.83333333333334,17774.0,17830.0,291.6666666666667,525.0,637.5,736.1215932167728,701.6595403901082,233.33333333333334
96,74.5125,2019-06-06 06:25:44.512500,17883,745.8333333333334,758.3333333333333,17835.0,17856,17909,220.83333333333331,87.5,17926.0,,179.16666666666666,,,,,
97,75.27083333333333,2019-06-06 06:25:45.270833,18065,758.3333333333333,758.3333333333333,18012.0,18039,18091,216.66666666666669,112.5,18126.0,,254.16666666666666,,,,,
98,76.02916666666667,2019-06-06 06:25:46.029167,18247,758.3333333333333,762.5,18201.0,18220,18273,220.83333333333331,79.16666666666666,18340.0,,387.5,,,,,
99,76.79166666666667,2019-06-06 06:25:46.791667,18430,762.5,770.8333333333334,18368.0,18403,18456,220.83333333333331,145.83333333333334,18574.0,,600.0,,,,,
