beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
75,58.32083333333333,2019-06-06 06:25:28.320833,13997,770.8333333333334,775.0,13940.0,13970,14024,225.0,125.0,14065.0,,283.3333333333333,,,,,
76,59.09583333333333,2019-06-06 06:25:29.095833,14183,775.0,766.6666666666667,14096.0,14156,14210,225.0,250.0,14252.0,,287.5,,,,,
77,59.8625,2019-06-06 06:25:29.862500,14367,766.6666666666667,775.0,14281.0,14340,14376,150.0,245.83333333333331,14435.0,,283.3333333333333,,,,,
78,60.6375,2019-06-06 06:25:30.637500,14553,775.0,775.0,14507.0,14527,14580,220.83333333333331,83.33333333333333,14620.0,,279.1666666666667,,,,,
79,61.4125,2019-06-06 06:25:31.412500,14739,775.0,783.3333333333334,14653.0,14712,14748,150.0,245.83333333333331,14807.0,,283.3333333333333,,,,,
80,62.19583333333333,2019-06-06 06:25:32.195833,14927,783.3333333333334,783.3333333333334,14840.0,14900,14936,150.0,250.0,14994.0,,279.1666666666667,,,,,
81,62.979166666666664,2019-06-06 06:25:32.979167,15115,783.3333333333334,775.0,15028.0,15088,15124,150.0,250.0,15182.0,,279.1666666666667,,,,,
82,63.75416666666667,2019-06-06 06:25:33.754167,15301,775.0,779.1666666666666,15214.0,15274,15310,150.0,250.0,15369.0,,283.3333333333333,,,,,
83,64.53333333333333,2019-06-06 06:25:34.533333,15488,779.1666666666666,779.1666666666666,15402.0,15462,15496,141.66666666666666,250.0,15553.0,,270.8333333333333,,,,,
84,65.3125,2019-06-06 06:25:35.312500,15675,779.1666666666666,779.1666666666666,15588.0,15648,15684,150.0,250.0,15742.0,,279.1666666666667,,,,,
85,66.09166666666667,2019-06-06 06:25:36.091667,15862,779.1666666666666,775.0,15776.0,15836,15870,141.66666666666666,250.0,15929.0,,279.1666666666667,,,,,
86,66.86666666666666,2019-06-06 06:25:36.866667,16048,775.0,758.3333333333333,16005.0,16022,16056,141.66666666666666,70.83333333333333,16116.0,,283.3333333333333,,,,,
87,67.625,2019-06-06 06:25:37.625000,16230,758.3333333333333,754.1666666666666,16143.0,16203,16239,150.0,250.0,16298.0,,283.3333333333333,,,,,
88,68.37916666666666,2019-06-06 06:25:38.379167,16411,754.1666666666666,766.6666666666667,16325.0,16384,16438,225.0,245.83333333333331,16479.0,,283.3333333333333,,,,,
89,69.14583333333333,2019-06-06 06:25:39.145833,16595,766.6666666666667,770.8333333333334,16509.0,16568,16622,225.0,245.83333333333331,16664.0,,287.5,,,,,
90,69.91666666666667,2019-06-06 06:25:39.916667,16780,770.8333333333334,775.0,16694.0,16753,16807,225.0,245.83333333333331,16848.0,,283.3333333333333,,,,,
91,70.69166666666666,2019-06-06 06:25:40.691667,16966,775.0,766.6666666666667,16880.0,16939,16993,225.0,245.83333333333331,17035.0,,287.5,,,,,
